Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
CSP (State Police),1,1500031332,16/01/2015,18:20,Male,Black,FALSE,"5'9""",170,39,C,D,,,"4 sec, 1 sec",2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,"revving engine, backing up towards officers",,,,,,,,,,,TRUE,,using motor vehicle to threaten law enforcement
New Britain,1,15-1393,17/01/2015,01:30,Male,Black,FALSE,"6'0""",180,32,C,,,,"1, 5 sec",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,,,exited vehicle and attempted to flee,,,,,TRUE,,,,,,TRUE,,
Enfield,1,C2015-03070,18/01/2015,12:50,Male,White,FALSE,"5'8""",190,28,C,,,,7 seconds,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,medical,TRUE,,,,TRUE,TRUE,,drug use suspected,TRUE,TRUE,TRUE,,,,,,,,,,
New London,1,15-000198,20/01/2015,00:36,Male,Black,FALSE,"5'8""",190,38,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Norwalk,2,15-02887-2,20/01/2015,22:56,Male,White,TRUE,"6'2""",250,44,C,,,,"8 (5 sec each), 1 sec, 2 sec",10,TRUE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,"passenger motor vehicle accident - DUI, public street",,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,resisting arrest
Norwalk,1,15-02887-1,20/01/2015,22:56,Male,White,TRUE,"5'4""",235,36,C,,,,5 sec,1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,"passenger motor vehicle accident - DUI, public street",,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,interfering with arrest
Meriden,1,15-0534,22/01/2015,18:46,Male,White,TRUE,"5'10""",205,30,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,knife,,,,,,,,,TRUE,,,TRUE,,
Suffield,1,15-9-AR,22/01/2015,16:15,Male,White,FALSE,"6'2""",250,22,D,,,"1, 4 seconds",,1,TRUE,TRUE,,TRUE,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,resisted arrest/failed to comply with orders,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Norwalk,1,15-03390,24/01/2015,11:22,Male,White,FALSE,"5'10""",185,63,C,,,,"12 sec, 5 sec, 4 sec - dislodged/ineffective",3,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Vernon,1,15-1185,24/01/2015,10:21,Male,White,FALSE,"5'11""",209,20,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
