Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
New Canaan,1,15-2219,26/02/2015,18:13,Male,White,FALSE,"6'0""",220,24,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,
Norwich,1,15-425-AR,27/02/2015,15:00,Male,White,FALSE,"5'11""",195,41,D,,,2 1-2 sec each,,2,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,fleeing to bedroom containing firearm
Manchester,1,M201501943,27/02/2015,22:45,Male,Black,FALSE,"6'3""",190,24,D,,,"2, 5 sec",,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,
New Britain,2,2015-4667,27/02/2015,23:58,Male,White,TRUE,"5'10""",350,41,C,D,,3 - 5 sec/5sec./4 sec,"1, 12 sec",4,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,TRUE,,,,,TRUE,fight in progress,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,
Bridgeport,1,150228107,28/02/2015,09:21,Male,Black,FALSE,"5'7""",160,52,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,,,,,,TRUE,,,,threatened possession of weapon,TRUE,,,TRUE,,,,,,,,,
Manchester,1,M201501997,28/02/2015,22:40,Male,White,TRUE,Unknown,Unknown,39,C,,,,2 5-sec activations,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,
Meriden,1,15-1485,28/02/2015,00:12,Male,White,TRUE,"5'9""",150,22,L,,,,,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,
Milford,1,2015-001198,28/02/2015,23:45,Male,White,FALSE,"6'2""",175,23,C,,,,"1, 5 sec",1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Coventry,1,15-922,01/03/2015,02:31,Male,White,FALSE,Unknown,Unknown,16,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,alarm call,,,,,,,,evading police,,,,,TRUE,,,,,,,,
Coventry,1,15-922,01/03/2015,02:31,Male,White,FALSE,Unknown,Unknown,16,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,alarm call,,,,,,,,evading police,,,,,TRUE,,,,,,,,
Milford,2,2015-001198,01/03/2015,00:30,Male,White,FALSE,"6'1""",215,24,C,,,,"5 sec, 10 sec.",2,FALSE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,butcher knife,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,
Branford,1,15-5336,03/03/2015,17:12,Male,White,FALSE,"6'0""",175,47,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,TRUE,,,,,,"Fleeing into motel, put hand in pocket multiple times",,,,,TRUE,,,,,,TRUE,,
Hartford ,1,2015-06528,03/03/2015,18:41,Male,Black,FALSE,"5'5""",140,42,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,not initial officer on scene,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,
East Hartford,1,15-5328,03/03/2015,10:30,Male,White,TRUE,"5'10""",160,17,W,,1 second,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Educational Facility,Marked Cruiser,,,,,,TRUE,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,
Torrington,1,15-7993,04/03/2015,15:50,Male,White,FALSE,"5'11""",195,37,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Winchester,1,15-1333,05/03/2015,22:38,Male,White,FALSE,Unknown,Unknown,43,D,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,
New Britain,1,15-5251,06/03/2015,04:00,Male,Black,FALSE,"6'0""",175,40,C,D,,2,2,2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,,,,,investigation,,,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,shotgun in reach of suspect
Plainville,1,2015-4186,06/03/2015,04:21,Male,White,FALSE,"5'8""",200,26,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,
East Haven,1,2015-00006247,07/03/2015,11:35,Male,White,FALSE,Unknown,Unknown,87,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,
East Hartford,1,15-5743,07/03/2015,21:41,Male,Unknown,TRUE,"5'10""",200,36,C,D,,,"5 seconds, 2 seconds",2,,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,
Naugatuck,1,15-5352,07/03/2015,18:13,Male,White,FALSE,"5'8""",175,29,C,,,,2 times,2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,
New Haven,1,15-9842,08/03/2015,08:30,Female,Black,FALSE,"5'1""",Unknown,21,C,,,,5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,knife,,,,,,,,,,,,TRUE,
Farmington,1,15-4056,09/03/2015,17:03,Male,White,FALSE,"5'10""",156,55,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,Knife,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,
Norwalk,1,15-09803,09/03/2015,06:03,Male,White,TRUE,"5'7""",150,35,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,,,,,"in police jail, being transferred into ambulance",,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,TRUE,
East Hartford,1,15-6031,10/03/2015,22:56,Male,Black,FALSE,"5'8""",165,37,C,D,,5 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
East Hartford,1,15-5961,10/03/2015,13:24,Male,White,FALSE,"5'11""",Unknown,23,W,,1 second,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,TRUE,,
East Hartford,1,15-6031,10/03/2015,22:56,Male,White,TRUE,"6'0""",190,22,C,D,,5 seconds,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Hartford ,1,2015-07431,11/03/2015,17:18,Male,White,TRUE,"5'8""",170,44,C,,,,"1, 5 sec.",1,FALSE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Commercial Establishment,Marked Cruiser,not initial officer on scene,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,,Attempted to take Officers gun
East Hartford,1,15-6128,11/03/2015,19:53,Male,Black,FALSE,Unknown,Unknown,40,C,D,,,7 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,Box cutter,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,
Norwich,1,15-531-AR,11/03/2015,20:00,Female,White,FALSE,"5'3""",120,30,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,"DUI, interfering w/ officer",,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,
Branford,1,15-6026,11/03/2015,18:23,Male,White,FALSE,"5'9""",185,24,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,TRUE,TRUE,,,,TRUE,,,TRUE,,TRUE,,"passive resistance, then soon became aggressive",TRUE,,TRUE,,TRUE,,,,,,TRUE,,"party reached into pocket, had large K-9 with him"
West Hartford,1,1500011859,11/03/2015,20:38,Male,Black,FALSE,"5'9""",170,22,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,TRUE,,,,,TRUE,,,credit card fraud,,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,
Waterbury,1,15-13051,12/03/2015,23:18,Male,White,TRUE,"5'8""",210,31,C,D,,touched to scapula,"1, 5 seconds (setting of probes)",2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,
Hartford ,1,2015-07613,13/03/2015,10:27,Female,White,TRUE,"5'6""",110,24,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,not initial officer on scene,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,
Danbury,1,1500015415,13/03/2015,10:24,Male,Black,FALSE,"6'0""",182,14,C,D,,"2, 7, and 5 seconds","2, 7, and 5 seconds",3,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Educational Facility,Officer in Uniform,,,,,,,,,,missing person complaint,,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,
Vernon,1,15-3577,14/03/2015,03:50,Male,White,FALSE,"6'0""",220,23,C,D,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,Commercial Establishment,Marked Cruiser,,,,TRUE,,TRUE,,,TRUE,trespass,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Manchester,1,M201502545,14/03/2015,18:28,Male,White,FALSE,"6'1""",210,23,C,D,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Branford,1,15-6407,15/03/2015,19:46,Male,White,FALSE,"6'2""",300,41,C,,,,See CSP Report,7,TRUE,TRUE,,,,,,,TRUE,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,vehicle,"walked away, ignored verbal commands",TRUE,TRUE,,,TRUE,,,,,,TRUE,,"had access to motor vehicle, could be used as weapon"
New London,1,15-000715,15/03/2015,20:33,Male,White,FALSE,"6'2""",220,31,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Greenwich,1,1500008771,16/03/2015,22:39,Male,White,FALSE,"5'07""",300,46,C,D,,8 seconds,4 seconds,2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,"12"" kitchen knife",,,,TRUE,,,,,TRUE,,,TRUE,,"after dropping knife, advanced towards officer in threatening manner"
Manchester,1,M201502585,16/03/2015,13:15,Male,Black,FALSE,"6'1""",170,27,D,,,2 5-sec bursts,,2,TRUE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,TRUE,TRUE,
New Britain,1,15-6310,17/03/2015,09:15,Male,White,TRUE,"5'8""",170,25,D,,,"1, 5 sec.",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,TRUE,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Willimantic,1,15-5021,17/03/2015,23:23,Male,White,FALSE,"5'11""",135,20,C,,,,10 ft,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,
Danbury,1,1500017047,19/03/2015,17:18,Male,White,TRUE,"5'10""",225,43,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,
Hartford ,1,2015-08298,19/03/2015,13:45,Male,Black,FALSE,"5'6""",160,31,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Unmarked Vehicle,not initial officer on scene,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,,
Stamford,1,15-0320-0149,20/03/2015,16:45,Male,Black,FALSE,6',220,43,C,,,,"1, 5 sec. ",1,TRUE,TRUE,,,,TRUE,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,2 knives within wingspan,,TRUE,,TRUE,,,,,,,,,,
East Hampton,1,15-1815,22/03/2015,03:32,Male,White,FALSE,"5'11""",190,38,D,,,"1 @ 5 sec, 2 @ 2 sec",,2,TRUE,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
New London,1,15-000798,22/03/2015,01:59,Male,White,FALSE,"6'2""",220,22,D,,,1/5 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,
East Hartford,1,15-7162,23/03/2015,22:30,Female,White,FALSE,"5'6""",209,47,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,
CSP (State Police),1,1500159578,23/03/2015,11:58,Female,White,FALSE,"5'7""",300,44,C,D,,,"6 sec, 5 sec",2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,knife and dagger,,TRUE,,,TRUE,,,,TRUE,,,TRUE,TRUE,
West Haven,1,1500009893,23/03/2015,19:04,Male,White,TRUE,"5'10""",180,27,C,,,,"2, 5 sec., 3 sec.",2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,Police detention,,,TRUE,,,,,TRUE,unruly prisoner,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
East Hartford,1,15-7206,24/03/2015,11:39,Male,White,FALSE,"5'8""",145,35,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
East Hartford,1,15-7261,24/03/2015,21:30,Male,White,FALSE,"5'9""",150,28,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,,,,,,TRUE,vandalizing prison cell,,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
West Haven,1,150009913,24/03/2015,01:26,Male,Black,FALSE,"5'9""",165,22,D,,,1 sec,,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,
Branford,1,15-7295,26/03/2015,23:08,Male,White,FALSE,"5'10""",200,27,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,Hammer,,,,,TRUE,,,,,TRUE,,,,
East Haven,1,15-8167,27/03/2015,19:32,Male,White,FALSE,"5'10""",190,48,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
CSP (State Police),1,1500170132,28/03/2015,03:45,Male,Black,FALSE,Unknown,Unknown,Unknown,C,,,,5 sec,1,FALSE,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,,,TRUE,,
East Hartford,1,15-7538,28/03/2015,01:59,Male,Black,FALSE,"5'7""",160,31,C,,7 seconds,,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Waterbury,1,15-15851,28/03/2015,02:20,Male,Black,FALSE,"5'8""",190,29,L,,display only,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,,self-initiated,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,
Mashantucket,1,15-178-OF,28/03/2015,01:15,Male,White,FALSE,"5'9""",210,33,C,,,,5 seconds,1,FALSE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,,,,,,,Security Officer accidentally tased,,,,,,,,Security Guard in uniform assisting police,,,,,,,,,,,,,Security Officer assisting police with combatant subject
Mashantucket,2,15-119-AR,28/03/2015,01:15,Male,White,FALSE,"5'8""",190,24,D,,,5 seconds,,1,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Norwalk,1,15-13084,29/03/2015,14:45,Male,White,FALSE,"6'3""",290,47,C,,,,"5 sec, 9 sec, 5 sec",3,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Milford,1,2015001845,29/03/2015,19:20,Male,White,FALSE,"6'2""",280,45,L,,laser displayed,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
CSP (State Police),1,1500172991,29/03/2015,02:15,Male,White,FALSE,"5'6""",205,40,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,
Ridgefield,1,15-5020,29/03/2015,11:15,Male,White,FALSE,"5'9""",175,20,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,,refused to obey officer commands,,,TRUE,,TRUE,,,,,,,TRUE,
Hartford ,1,2015-09770,01/04/2015,19:42,Male,Black,FALSE,"5'9""",225,34,C,D,,3 sec.,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,
Torrington,1,15-11918,02/04/2015,23:08,Male,Black,FALSE,"6'2""",180,34,L,,,,,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,
Danbury,1,1500020445,02/04/2015,13:10,Male,Black,FALSE,"6'0""",180,14,U,,Taser was off,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,TRUE,,,TRUE,suspect may have had broken glass in pocket,,TRUE,,TRUE,TRUE,TRUE,broken glass,,TRUE,,,TRUE,TRUE,,,,,Broken glass,,,
Waterbury,1,15-17321,04/04/2015,01:55,Male,Black,TRUE,"5'10""",150,24,L,,display only,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,TRUE,,
New Haven,1,15-14740,05/04/2015,23:20,Male,Black,FALSE,"5'10""",200,23,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Mashantucket,2,15-205-OF,05/04/2015,00:52,Male,White,FALSE,"6'0""",250,28,C,,,,"3 seconds, 5 seconds",2,FALSE,FALSE,TRUE,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,Security Officer accidentally tased,,,TRUE,TRUE,TRUE,TRUE,,Security Guard in uniform assisting police,TRUE,,TRUE,,,,,,,,,,
Torrington,1,15-12387,06/04/2015,14:10,Male,White,FALSE,"5'9""",174,45,C,,,,3 5 second deployments,3,FALSE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,
Norwich,1,15-962-OF,06/04/2015,22:00,Male,White,FALSE,"6'0""",180,42,D,,,1 five-second application,,1,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,suicidial/threatening homicide,,,TRUE,TRUE,TRUE,TRUE,threatened use of knife to kill,,TRUE,,TRUE,TRUE,,,,,,,TRUE,TRUE,
Waterbury,1,15-17915,06/04/2015,23:00,Male,White,TRUE,"5'11""",200,36,L,,display only,,,0,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,TRUE,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,"suspect claims to have smoked ""dust"""
CSP (State Police),1,1500193423,07/04/2015,19:52,Male,Black,FALSE,Unknown,Unknown,45,C,,,3/3/5 sec,,3,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,TRUE,,
