unit_id,PANEL,Tech2,Tech,Speed,Package,MarketClass,Urban_Rural,Region,Country,trim24_mean_download,trimpk_mean_download,max_download_average,min_download_average,t00000600MonSun,t06001200MonSun,t12001800MonSun,t18001900MonSun,t19002000MonSun,t20002100MonSun,t21002200MonSun,t22002300MonSun,t23002400MonSun,t00000600MonFri,trim4_mean_upload,trimpk_mean_upload,max_upload_average,Min_upload_average,disconnects_30_seconds_plus,dns_24hrs,dns_24_fail_rate,jitter_24hrs_up,jitter_24hrs_down,latencyloss24,latencyfail_rate24,webget24,dns_pk,dns_pk_fail_rate,jitter_pk_up,jitter_pk_down,latencypk,latencyfailratepk,webgetPK,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,Min_max,Peak_max,weight_National,Weight_ISP
34079,SKC,FTTC,FTTC38,30+,Sky 38,3,Urban,Yorkshire & Humberside,England,23.768,23.69,24.3373,22.4771,23.7675,23.898,23.7443,24.0176,23.7898,23.7578,23.6277,23.5571,23.6555,23.8147,3.6848,3.6801,3.7407,3.567,0.1471,6.8189,0.0006,0.3366,0.2576,10.8364,0.0004,498.9247,6.9581,0,0.3363,0.2967,10.8776,0.0001,487.7191,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.92,0.97,#NULL!,1.28
812632,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South East,England,21.3199,22.69,24.4393,17.1393,21.5891,21.5039,20.963,19.9341,21.3455,22.2928,23.0818,20.8265,20.3619,22.2388,9.3236,9.3227,9.3759,9.2284,0.2941,12.5106,0.0002,0.2265,0.4663,11.8989,0.0004,318.0008,12.6803,0,0.2398,0.5341,11.9838,0.0001,315.0664,0.0725,0.8145,0.113,0,889.8230318,0.1026,0.7692,0.1282,0,1099.836711,0.9882,0.0118,0,0,1576.10971,0.9722,0.0278,0,0,1505.313081,0.7,0.93,#NULL!,#NULL!
868638,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South West,England,24.5955,24.79,24.9404,22.629,24.5528,24.4735,24.2728,24.5819,24.6199,24.9269,24.6472,24.9396,24.82,24.6051,2.8171,2.9906,2.9029,2.7596,0.2647,23.287,0,0.3704,0.4526,20.839,0.0013,285.5268,23.529,0,0.3485,0.3357,21.0563,0.0001,295.3966,0.1045,0.7575,0.1381,0,980.966516,0.1333,0.6667,0.2,0,1087.005028,0.9962,0.0038,0,0,1445.6618,1,0,0,0,1469.623033,0.91,0.99,#NULL!,1.28
2242,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,Wales,Wales,24.2922,24.3,25.5918,19.6342,24.6225,24.5729,24.1472,23.9209,23.5084,24.3389,24.2555,23.9663,24.8409,24.5833,3.8432,3.8221,3.9366,3.6366,0.1176,16.1027,0.0001,0.3578,0.5998,15.472,0.0014,326.8037,16.0066,0,0.366,0.9188,15.7167,0.0002,355.2214,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.77,0.95,#NULL!,#NULL!
776240,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,North West,England,25.0287,24.8,25.5944,22.1071,25.3912,24.9163,24.808,24.446,25.0442,25.2998,24.3095,25.3217,25.2447,25.3065,4.6351,4.6022,4.6911,4.5145,0.2059,19.9838,0,0.4027,0.4422,20.0545,0.0001,283.0144,20.3561,0,0.4136,0.7552,20.1674,0.0001,357.9471,0.083,0.7826,0.1344,0,978.5642683,0.0625,0.6875,0.25,0,987.9947778,1,0,0,0,1415.61564,1,0,0,0,1480.503077,0.86,0.97,0.19,0.77
814307,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South East,England,25.4264,25.38,25.5956,23.667,25.4945,25.5229,25.3415,25.5182,25.5422,25.395,25.3587,25.0655,25.5342,25.5846,7.9112,7.8889,7.9723,7.7423,0.1471,15.0514,0.0021,0.3821,0.3558,13.6277,0.0005,290.3093,15.0314,0.001,0.3837,0.3519,13.5483,0,257.5621,0.0698,0.8317,0.0984,0,901.8427657,0.0952,0.7619,0.1429,0,980.2822292,0.9972,0,0.0028,0,1445.85589,1,0,0,0,1395.767878,0.92,0.99,0.27,1.28
544400,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,North West,England,25.0213,24.68,25.5995,22.1328,25.5185,25.3046,25.2024,25.074,25.1002,24.9705,24.3966,24.0936,24.2369,25.5364,4.9918,4.9567,5.0463,4.8341,0.0588,10.3537,0,0.4047,0.3154,11.3057,0.0002,283.9362,10.6682,0,0.4177,0.3894,11.4145,0,274.2685,0.0734,0.8196,0.107,0,901.1547631,0.1143,0.7143,0.1714,0,1011.966707,1,0,0,0,1371.12862,1,0,0,0,1452.285,0.86,0.96,#NULL!,1.28
942444,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,North East,England,25.6992,25.53,25.7916,24.3703,25.7752,25.7632,25.7555,25.7614,25.5037,25.5838,25.4749,25.7206,25.7641,25.7806,6.557,6.5551,6.6076,6.499,0,17.7836,0.0001,0.28,0.3184,27.9418,0.0001,363.1101,17.6941,0,0.2725,0.3783,28.0228,0.0001,368.0343,0.0966,0.7793,0.1241,0,750.3055086,0.1176,0.7059,0.1765,0,786.4566177,0.9535,0.0465,0,0,1304.97783,0.9143,0.0857,0,0,1357.510921,0.94,0.99,#NULL!,1.28
505414,SKC,FTTC,FTTC38,30+,Sky 38,1,Urban,Northern Ireland,Northern Ireland,25.7548,25.4,26.3599,22.3015,26.34,25.6171,25.7845,25.7818,25.5777,25.0311,25.776,25.0572,26.3241,26.3329,5.871,5.7808,5.881,5.6704,8.7879,27.4424,0.0086,0.5804,0.6093,22.5527,0.0004,541.9805,27.5363,0.0649,0.6066,0.9613,22.6697,0.0002,579.2347,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.85,0.96,#NULL!,1.28
813883,OFCOM,FTTC,FTTC38,30+,Sky 38,3,Urban,South East,England,26.4966,26.71,27.0318,22.9309,26.5472,25.7095,26.9767,26.2061,26.4642,26.5056,26.9187,26.2332,27.3094,26.3823,3.2058,3.5062,3.2225,2.5041,0.8235,14.5244,0.0004,2.7054,0.3741,11.0482,0.0024,380.1617,13.1031,0.002,0.9479,0.4821,11.6667,0.0007,274.8011,0.0748,0.8401,0.085,0,1037.939868,0.0588,0.7941,0.1471,0,986.7052222,0.9664,0.0336,0,0,1593.9337,0.9655,0.0345,0,0,1708.712233,0.85,0.99,#NULL!,#NULL!
